instrument,trading_day,update_time_raw,turnover,volume,last_price,open_interest,upper_limit_price,lower_limit_price,local_timestamp_us,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ms_of_day,product,contract_yyyymm,grid_phase_ms,session,is_preopen,is_in_continuous_session,is_out_of_session,exchange_ts,local_ts_utc,phase_residual_ms,is_observed_snapshot,bid_levels_present,ask_levels_present,one_sided_book,partial_depth_book,row_integrity_ok,source_file_integrity,session_boundary,interval_volume,interval_turnover,delta_open_interest,interval_vwap
IF2403,20240104,093102700,439259820.0,432,3392.2,100977,3734.4,3055.6,1704331862724436,3392.0,3391.2,3390.6,3389.6,3389.4,3392.2,3392.4,3392.6,3392.8,3393.0,5,2,2,1,1,3,4,5,6,1,34262700,IF,202403,200,AM,False,True,False,2024-01-04 09:31:02.700,2024-01-04 01:31:02.724436+00:00,0,True,5,5,False,False,True,PASS,False,2.0,2035260.0,0.0,3392.1
IF2406,20240104,093102700,246549300.0,243,3385.0,62674,3728.0,3050.4,1704331862724444,3384.8,3384.2,3384.0,3383.4,3382.8,3385.4,3385.6,3385.8,3386.0,3388.0,1,5,1,1,6,1,2,2,7,2,34262700,IF,202406,200,AM,False,True,False,2024-01-04 09:31:02.700,2024-01-04 01:31:02.724444+00:00,0,True,5,5,False,False,True,PASS,False,0.0,0.0,0.0,
IF2401,20240104,093103200,1338100500.0,1321,3379.0,98382,3719.6,3043.6,1704331863225618,3378.6,3378.4,3378.2,3378.0,3377.8,3379.0,3379.2,3379.6,3379.8,3380.0,1,3,2,8,27,9,4,2,1,2,34263200,IF,202401,200,AM,False,True,False,2024-01-04 09:31:03.200,2024-01-04 01:31:03.225618+00:00,0,True,5,5,False,False,True,PASS,False,3.0,3041100.0,0.0,3379.0
IF2402,20240104,093103200,61916700.0,61,3384.0,6521,3727.0,3049.4,1704331863225626,3383.8,3383.6,3383.4,3383.2,3383.0,3386.0,3386.4,3390.0,3394.0,3396.0,2,2,1,4,1,2,1,2,4,1,34263200,IF,202402,200,AM,False,True,False,2024-01-04 09:31:03.200,2024-01-04 01:31:03.225626+00:00,0,True,5,5,False,False,True,PASS,False,0.0,0.0,0.0,
IF2403,20240104,093103200,447400800.0,440,3392.2,100974,3734.4,3055.6,1704331863225634,3392.0,3391.2,3390.6,3389.6,3389.4,3392.4,3392.6,3393.0,3393.6,3394.4,1,3,2,1,1,3,1,1,1,3,34263200,IF,202403,200,AM,False,True,False,2024-01-04 09:31:03.200,2024-01-04 01:31:03.225634+00:00,0,True,5,5,False,False,True,PASS,False,8.0,8140980.0,-3.0,3392.075
IF2406,20240104,093103200,246549300.0,243,3385.0,62674,3728.0,3050.4,1704331863225642,3385.6,3385.2,3385.0,3384.8,3384.2,3385.8,3386.0,3386.2,3388.0,3388.8,1,1,2,1,5,1,7,2,2,2,34263200,IF,202406,200,AM,False,True,False,2024-01-04 09:31:03.200,2024-01-04 01:31:03.225642+00:00,0,True,5,5,False,False,True,PASS,False,0.0,0.0,0.0,
IF2401,20240104,093103700,1343168760.0,1326,3378.6,98381,3719.6,3043.6,1704331863727397,3378.4,3378.2,3378.0,3377.8,3377.6,3378.6,3379.0,3379.2,3379.6,3379.8,1,2,7,27,5,1,6,3,2,1,34263700,IF,202401,200,AM,False,True,False,2024-01-04 09:31:03.700,2024-01-04 01:31:03.727397+00:00,0,True,5,5,False,False,True,PASS,False,5.0,5068260.0,-1.0,3378.84
IF2402,20240104,093103700,61916700.0,61,3384.0,6521,3727.0,3049.4,1704331863727405,3384.2,3384.0,3383.8,3383.6,3383.4,3385.8,3386.0,3386.2,3386.4,3390.0,1,2,2,2,1,1,2,4,1,2,34263700,IF,202402,200,AM,False,True,False,2024-01-04 09:31:03.700,2024-01-04 01:31:03.727405+00:00,0,True,5,5,False,False,True,PASS,False,0.0,0.0,0.0,
IF2403,20240104,093103700,450453960.0,443,3392.4,100972,3734.4,3055.6,1704331863727413,3391.2,3390.6,3389.6,3389.4,3389.2,3392.6,3393.0,3393.6,3394.4,3394.8,3,2,1,1,1,1,1,1,3,1,34263700,IF,202403,200,AM,False,True,False,2024-01-04 09:31:03.700,2024-01-04 01:31:03.727413+00:00,0,True,5,5,False,False,True,PASS,False,3.0,3053160.0,-2.0,3392.4
IF2406,20240104,093103700,248580720.0,245,3385.8,62672,3728.0,3050.4,1704331863727421,3385.0,3384.8,3384.2,3384.0,3383.4,3386.0,3386.2,3388.0,3388.8,3389.4,2,1,4,1,1,7,2,2,2,6,34263700,IF,202406,200,AM,False,True,False,2024-01-04 09:31:03.700,2024-01-04 01:31:03.727421+00:00,0,True,5,5,False,False,True,PASS,False,2.0,2031420.0,-2.0,3385.7
IF2401,20240104,093104200,1351277880.0,1334,3378.8,98378,3719.6,3043.6,1704331864227395,3378.8,3378.6,3378.4,3378.2,3378.0,3379.0,3379.2,3379.4,3379.6,3379.8,3,5,4,2,7,2,3,1,2,1,34264200,IF,202401,200,AM,False,True,False,2024-01-04 09:31:04.200,2024-01-04 01:31:04.227395+00:00,0,True,5,5,False,False,True,PASS,False,8.0,8109120.0,-3.0,3378.8
IF2402,20240104,093104200,61916700.0,61,3384.0,6521,3727.0,3049.4,1704331864227403,3384.4,3384.2,3384.0,3383.8,3383.6,3385.8,3386.0,3386.2,3386.4,3390.0,3,1,1,2,1,1,2,4,1,2,34264200,IF,202402,200,AM,False,True,False,2024-01-04 09:31:04.200,2024-01-04 01:31:04.227403+00:00,0,True,5,5,False,False,True,PASS,False,0.0,0.0,0.0,
IF2403,20240104,093104200,452489400.0,445,3392.4,100970,3734.4,3055.6,1704331864227410,3392.2,3391.8,3391.6,3391.4,3391.2,3392.6,3393.0,3393.6,3394.4,3394.8,1,1,1,2,3,1,2,1,3,1,34264200,IF,202403,200,AM,False,True,False,2024-01-04 09:31:04.200,2024-01-04 01:31:04.227410+00:00,0,True,5,5,False,False,True,PASS,False,2.0,2035440.0,-2.0,3392.4
